0.1  36335.16  1420.14420807  50263.58  1703.94155502  62085.2  1835.77735234  79513.5  2996.06091397  95079.46  2932.42088471  
0.2  31848.56  1407.60098073  33294.88  923.30427365  42942.2  1753.17427426  45026.0  1901.70651269  47692.22  1650.18712069  
0.3  16438.42  451.11781265  18759.16  546.37432213  22535.58  623.88483637  24816.82  698.27312748  28188.12  786.43295997  
0.4  10580.5  306.58259233  12927.74  321.29168109  14325.54  406.45833605  15922.58  477.62969696  19067.1  528.15459877  
0.5  7417.08  202.9400793  9300.42  262.09930209  9802.54  282.84050486  11329.98  343.15650204  12836.82  337.10347795  
0.6  5403.82  136.94836116  6306.74  166.77341542  7506.04  207.11072255  8002.74  161.62248735  8865.9  246.75973814  
0.7  4212.64  102.8817104  4569.84  112.24205753  5741.84  156.40584665  6390.34  162.10929447  6512.4  120.1565985  
0.8  3236.92  85.33865713  3608.78  83.76524188  4150.32  90.07012887  4677.42  119.41954884  5217.6  110.78849495  
0.9  2487.7  47.7213532  2875.24  63.8520967  3351.86  80.93702773  3696.18  91.57827338  3898.82  100.5592269  
1.0  1638.38  41.68423467  1909.26  51.37883953  2368.7  67.81604921  2547.34  64.80048255  2868.48  78.71694183  
