27 91 0.125
27 155 0.125
27 283 0.125
27 2057 0.125
91 219 0.1875
91 347 0.0625
91 2121 0.0625
155 219 0.1875
155 411 0.0625
155 2185 0.0625
283 27 0.0625
283 347 0.0625
283 411 0.0625
283 2313 0.125
283 2331 0.0625
347 91 0.125
347 283 0.0625
347 475 0.125
347 2377 0.0625
347 2395 0.0625
411 155 0.125
411 283 0.0625
411 475 0.125
411 2441 0.0625
411 2459 0.0625
475 219 0.1875
475 347 0.0625
475 411 0.0625
475 2523 0.0625
603 91 0.0625
603 731 0.125
603 859 0.0625
603 895 0.0625
603 1755 0.0625
603 2633 0.0625
603 2651 0.0625
731 219 0.0625
731 1023 0.0625
731 1755 0.0625
731 2779 0.0625
859 283 0.0625
859 603 0.0625
859 895 0.0625
859 987 0.0625
859 2011 0.0625
859 2889 0.0625
859 2907 0.125
895 603 0.0625
895 859 0.0625
895 1023 0.0625
895 2047 0.125
895 2925 0.0625
895 2943 0.125
987 411 0.0625
987 731 0.125
987 859 0.0625
987 1023 0.0625
987 2011 0.0625
987 3035 0.125
1023 731 0.125
1023 2047 0.125
1023 3071 0.125
1179 155 0.0625
1179 1243 0.125
1179 1435 0.0625
1179 1471 0.0625
1179 1755 0.0625
1179 3209 0.0625
1179 3227 0.0625
1243 219 0.0625
1243 1535 0.0625
1243 1755 0.0625
1243 3291 0.0625
1435 283 0.0625
1435 1179 0.0625
1435 1471 0.0625
1435 1499 0.0625
1435 2011 0.0625
1435 3465 0.0625
1435 3483 0.125
1471 1179 0.0625
1471 1435 0.0625
1471 1535 0.0625
1471 2047 0.125
1471 3501 0.0625
1471 3519 0.125
1499 347 0.0625
1499 1243 0.125
1499 1435 0.0625
1499 1535 0.0625
1499 2011 0.0625
1499 3547 0.125
1535 1243 0.125
1535 2047 0.125
1535 3583 0.125
1755 731 0.0625
1755 1243 0.0625
1755 2047 0.125
1755 3803 0.125
2011 859 0.0625
2011 1435 0.0625
2011 1755 0.0625
2011 2047 0.125
2011 4059 0.1875
2047 1755 0.0625
2047 4095 0.1875
2057 27 0.0625
2057 2121 0.0625
2057 2185 0.0625
2057 2313 0.1875
2121 91 0.0625
2121 2057 0.0625
2121 2139 0.0625
2121 2249 0.125
2121 2377 0.125
2139 91 0.0625
2139 2121 0.0625
2139 2267 0.125
2139 2395 0.0625
2139 2431 0.0625
2139 2651 0.0625
2139 3291 0.0625
2185 155 0.0625
2185 2057 0.0625
2185 2203 0.0625
2185 2249 0.125
2185 2441 0.125
2203 155 0.0625
2203 2185 0.0625
2203 2267 0.125
2203 2459 0.0625
2203 2495 0.0625
