0.01    -21.503733333332885    475.9868444444742
0.02    -21.502666666666215    475.95057777780744
0.03    -21.486133333332877    475.3361777778073
0.04    -21.502666666666215    475.95057777780744
0.05    -21.502399999999554    475.96231111114116
0.06    -21.514133333332886    476.49991111114093
0.07    -21.507466666666218    476.1923555555856
0.08    -21.490133333332874    475.4872888889185
0.09    -21.50639999999955    476.1482666666967
0.1    -21.49519999999955    475.6576000000296
0.11    -21.515999999999558    476.5905777778076
0.12    -21.505333333332885    476.0608000000297
0.13    -21.45573333333286    473.9936000000296
0.14    -21.366933333332927    469.5715555555841
0.15    -21.393599999999598    470.3317333333634
0.16    -21.617333333332972    480.3665777778091
0.17    -21.51733333333304    475.2028444444744
0.18    -21.26773333333307    464.3832888889184
0.19    -21.28613333333306    464.8672000000298
0.2    -21.42533333333311    469.84568888891806
0.21    -21.157333333333032    459.5911111111387
0.22    -21.5207999999998    474.25173333336113
0.23    -21.069333333333056    455.2149333333613
0.24    -21.112799999999705    457.5975111111387
0.25    -20.875999999999728    447.3134222222494
0.26    -20.64853333333299    439.2042666666907
0.27    -20.42666666666623    429.8496000000219
0.28    -20.135733333332897    418.4437333333542
0.29    -20.082933333332914    416.4675555555772
0.3    -20.139466666666195    421.1523555555776
0.31    -19.57146666666618    397.97084444446483
0.32    -19.50293333333287    395.86062222224143
0.33    -19.42613333333287    393.2359111111309
0.34    -19.071733333332794    380.89208888890323
0.35    -18.745333333332724    367.9207111111253
0.36    -18.587199999999328    362.86293333334663
0.37    -18.34506666666599    354.700800000012
0.38    -18.21306666666595    350.7907555555664
0.39    -17.848533333332558    336.57315555556426
0.4    -17.732799999999237    332.57813333334093
0.41    -17.36826666666584    320.3936000000056
0.42    -17.598666666665864    328.7349333333402
0.43    -17.012266666665735    310.0181333333387
0.44    -16.515999999998993    292.13404444444717
0.45    -16.419733333332317    290.4732444444476
0.46    -16.441599999998974    291.06844444444675
0.47    -16.020799999998886    276.23324444444495
