0.634529    0.023814    0.021142    0.01774    0.022691    0.010905    0.009935    0.011626    
0.626103    0.02313    0.025585    0.024189    0.019968    0.008643    0.010026    0.010803    
0.628994    0.022632    0.024039    0.023413    0.02217    0.010454    0.009678    0.011092    
0.630091    0.022267    0.020091    0.022098    0.022829    0.010988    0.010498    0.010342    
0.622059    0.021523    0.025455    0.028244    0.022121    0.011081    0.009508    0.009475    
0.638909    0.021859    0.023825    0.023181    0.019031    0.008855    0.007787    0.009658    
0.640023    0.021331    0.021534    0.020803    0.0217    0.009813    0.007031    0.010476    
0.629577    0.024035    0.024319    0.021973    0.01877    0.009027    0.009251    0.011073    
0.627544    0.021644    0.022092    0.026052    0.022817    0.010764    0.01196    0.010019    
0.633107    0.022485    0.020963    0.022594    0.024027    0.007742    0.008891    0.009083    
sum : 0.7528919999999999
